geo_point_2d;geo_shape;gid;geom_o;geom_err;rs_ec_parc_s;cdate;mdate;commune;code_commune
44.9230885, -0.4896804;"{""coordinates"": [-0.4896804, 44.9230885], ""type"": ""Point""}";8;360;;237;2012-06-13T09:23:16+00:00;2012-06-13T09:23:16+00:00;Ambarès-et-Lagrave;33003
44.9039525, -0.5088959;"{""coordinates"": [-0.5088959, 44.9039525], ""type"": ""Point""}";15;360;;164;2012-06-13T09:45:12+00:00;2012-06-13T09:45:12+00:00;Bassens;33032
44.8963242, -0.5165428;"{""coordinates"": [-0.5165428, 44.8963242], ""type"": ""Point""}";17;360;;222;2012-06-13T09:49:32+00:00;2012-06-13T09:49:32+00:00;Bassens;33032
44.891244, -0.5209607;"{""coordinates"": [-0.5209607, 44.891244], ""type"": ""Point""}";21;360;;206;2012-06-13T09:54:20+00:00;2012-06-13T09:54:20+00:00;Bassens;33032
44.8683557, -0.5312896;"{""coordinates"": [-0.5312896, 44.8683557], ""type"": ""Point""}";26;360;;179;2012-06-13T10:04:16+00:00;2012-06-13T10:04:16+00:00;Lormont;33249
44.8574807, -0.5294117;"{""coordinates"": [-0.5294117, 44.8574807], ""type"": ""Point""}";29;360;;217;2012-06-13T10:07:40+00:00;2012-06-13T10:07:40+00:00;Cenon;33119
44.8584256, -0.5254874;"{""coordinates"": [-0.5254874, 44.8584256], ""type"": ""Point""}";31;360;;217;2012-06-13T10:08:20+00:00;2012-06-13T10:08:20+00:00;Cenon;33119
44.8473374, -0.528705;"{""coordinates"": [-0.528705, 44.8473374], ""type"": ""Point""}";34;360;;154;2012-06-13T10:11:28+00:00;2012-06-13T10:11:28+00:00;Cenon;33119
44.8449971, -0.5090344;"{""coordinates"": [-0.5090344, 44.8449971], ""type"": ""Point""}";43;360;;248;2012-06-14T14:23:28+00:00;2012-06-14T14:23:28+00:00;Floirac;33167
44.8186103, -0.5040324;"{""coordinates"": [-0.5040324, 44.8186103], ""type"": ""Point""}";45;360;;214;2012-06-14T14:28:36+00:00;2012-06-14T14:28:36+00:00;Bouliac;33065
44.8145048, -0.5447786;"{""coordinates"": [-0.5447786, 44.8145048], ""type"": ""Point""}";49;360;;208;2012-06-20T08:54:44+00:00;2012-06-20T08:54:44+00:00;Bègles;33039
44.7933171, -0.5600313;"{""coordinates"": [-0.5600313, 44.7933171], ""type"": ""Point""}";51;360;;255;2012-06-20T08:56:28+00:00;2012-06-20T08:56:28+00:00;Bègles;33039
44.7686597, -0.6073485;"{""coordinates"": [-0.6073485, 44.7686597], ""type"": ""Point""}";65;360;;273;2012-07-02T09:13:12+00:00;2012-07-02T09:13:12+00:00;Gradignan;33192
44.7760462, -0.6191131;"{""coordinates"": [-0.6191131, 44.7760462], ""type"": ""Point""}";71;360;;240;2012-07-02T09:14:44+00:00;2012-07-02T09:14:44+00:00;Gradignan;33192
44.7722065, -0.619018;"{""coordinates"": [-0.619018, 44.7722065], ""type"": ""Point""}";72;360;;240;2012-07-02T09:14:48+00:00;2012-07-02T09:14:48+00:00;Gradignan;33192
44.8995435, -0.6133453;"{""coordinates"": [-0.6133453, 44.8995435], ""type"": ""Point""}";81;360;;177;2012-07-02T09:18:44+00:00;2012-07-02T09:18:44+00:00;Bruges;33075
44.9258463, -0.4938566;"{""coordinates"": [-0.4938566, 44.9258463], ""type"": ""Point""}";9;360;;237;2012-06-13T09:23:48+00:00;2012-06-13T09:23:48+00:00;Ambarès-et-Lagrave;33003
